savol,modda_num,modda_text
Mening mehnat huquqlarimni davlat qanday himoya qiladi?,mehnat kodeksi 2-modda,"Ushbu Kodeksning asosiy vazifalari quyidagilardan iborat:
- xodimlar mehnat huquqlari va erkinliklarining, shu jumladan mehnat qilishga, erkin ish tanlashga, adolatli va xavfsiz mehnat sharoitlariga hamda ishsizlikdan himoyalanishga bo‘lgan huquqining davlat kafolatlarini belgilash;
- ish beruvchilarning kadrlarni tanlash, joy-joyiga qo‘yish va samarali mehnat jarayonini tashkil etish sohasidagi huquqlari amalga oshirilishini ta’minlash;
- mehnat sohasida ijtimoiy sheriklikni rag‘batlantirish va rivojlantirish;
- xodimlar va ish beruvchilarning huquqlari hamda qonuniy manfaatlari himoya qilinishini ta’minlash;
- mehnat bozorining samarali faoliyat ko‘rsatishiga ko‘maklashish."
Ish tanlash erkinligim bormi?,mehnat kodeksi 2-modda,"Ushbu Kodeksning asosiy vazifalari quyidagilardan iborat:
- xodimlar mehnat huquqlari va erkinliklarining, shu jumladan mehnat qilishga, erkin ish tanlashga, adolatli va xavfsiz mehnat sharoitlariga hamda ishsizlikdan himoyalanishga bo‘lgan huquqining davlat kafolatlarini belgilash;
- ish beruvchilarning kadrlarni tanlash, joy-joyiga qo‘yish va samarali mehnat jarayonini tashkil etish sohasidagi huquqlari amalga oshirilishini ta’minlash;
- mehnat sohasida ijtimoiy sheriklikni rag‘batlantirish va rivojlantirish;
- xodimlar va ish beruvchilarning huquqlari hamda qonuniy manfaatlari himoya qilinishini ta’minlash;
- mehnat bozorining samarali faoliyat ko‘rsatishiga ko‘maklashish."
Davlat mehnat qilish huquqimni kafolatlaydimi?,mehnat kodeksi 2-modda,"Ushbu Kodeksning asosiy vazifalari quyidagilardan iborat:
- xodimlar mehnat huquqlari va erkinliklarining, shu jumladan mehnat qilishga, erkin ish tanlashga, adolatli va xavfsiz mehnat sharoitlariga hamda ishsizlikdan himoyalanishga bo‘lgan huquqining davlat kafolatlarini belgilash;
- ish beruvchilarning kadrlarni tanlash, joy-joyiga qo‘yish va samarali mehnat jarayonini tashkil etish sohasidagi huquqlari amalga oshirilishini ta’minlash;
- mehnat sohasida ijtimoiy sheriklikni rag‘batlantirish va rivojlantirish;
- xodimlar va ish beruvchilarning huquqlari hamda qonuniy manfaatlari himoya qilinishini ta’minlash;
- mehnat bozorining samarali faoliyat ko‘rsatishiga ko‘maklashish."
Ish sharoitlari xavfsiz bo'lishi kerakmi?,mehnat kodeksi 2-modda,"Ushbu Kodeksning asosiy vazifalari quyidagilardan iborat:
- xodimlar mehnat huquqlari va erkinliklarining, shu jumladan mehnat qilishga, erkin ish tanlashga, adolatli va xavfsiz mehnat sharoitlariga hamda ishsizlikdan himoyalanishga bo‘lgan huquqining davlat kafolatlarini belgilash;
- ish beruvchilarning kadrlarni tanlash, joy-joyiga qo‘yish va samarali mehnat jarayonini tashkil etish sohasidagi huquqlari amalga oshirilishini ta’minlash;
- mehnat sohasida ijtimoiy sheriklikni rag‘batlantirish va rivojlantirish;
- xodimlar va ish beruvchilarning huquqlari hamda qonuniy manfaatlari himoya qilinishini ta’minlash;
- mehnat bozorining samarali faoliyat ko‘rsatishiga ko‘maklashish."
Ishsizlikdan qanday himoyalanishim mumkin?,mehnat kodeksi 2-modda,"Ushbu Kodeksning asosiy vazifalari quyidagilardan iborat:
- xodimlar mehnat huquqlari va erkinliklarining, shu jumladan mehnat qilishga, erkin ish tanlashga, adolatli va xavfsiz mehnat sharoitlariga hamda ishsizlikdan himoyalanishga bo‘lgan huquqining davlat kafolatlarini belgilash;
- ish beruvchilarning kadrlarni tanlash, joy-joyiga qo‘yish va samarali mehnat jarayonini tashkil etish sohasidagi huquqlari amalga oshirilishini ta’minlash;
- mehnat sohasida ijtimoiy sheriklikni rag‘batlantirish va rivojlantirish;
- xodimlar va ish beruvchilarning huquqlari hamda qonuniy manfaatlari himoya qilinishini ta’minlash;
- mehnat bozorining samarali faoliyat ko‘rsatishiga ko‘maklashish."
"Mehnat qilish huquqim buzilsa, qanday chora ko‘riladi?",mehnat kodeksi 2-modda,"Ushbu Kodeksning asosiy vazifalari quyidagilardan iborat:
- xodimlar mehnat huquqlari va erkinliklarining, shu jumladan mehnat qilishga, erkin ish tanlashga, adolatli va xavfsiz mehnat sharoitlariga hamda ishsizlikdan himoyalanishga bo‘lgan huquqining davlat kafolatlarini belgilash;
- ish beruvchilarning kadrlarni tanlash, joy-joyiga qo‘yish va samarali mehnat jarayonini tashkil etish sohasidagi huquqlari amalga oshirilishini ta’minlash;
- mehnat sohasida ijtimoiy sheriklikni rag‘batlantirish va rivojlantirish;
- xodimlar va ish beruvchilarning huquqlari hamda qonuniy manfaatlari himoya qilinishini ta’minlash;
- mehnat bozorining samarali faoliyat ko‘rsatishiga ko‘maklashish."
Xavfsiz ish joyi kafolatlanadimi?,mehnat kodeksi 2-modda,"Ushbu Kodeksning asosiy vazifalari quyidagilardan iborat:
- xodimlar mehnat huquqlari va erkinliklarining, shu jumladan mehnat qilishga, erkin ish tanlashga, adolatli va xavfsiz mehnat sharoitlariga hamda ishsizlikdan himoyalanishga bo‘lgan huquqining davlat kafolatlarini belgilash;
- ish beruvchilarning kadrlarni tanlash, joy-joyiga qo‘yish va samarali mehnat jarayonini tashkil etish sohasidagi huquqlari amalga oshirilishini ta’minlash;
- mehnat sohasida ijtimoiy sheriklikni rag‘batlantirish va rivojlantirish;
- xodimlar va ish beruvchilarning huquqlari hamda qonuniy manfaatlari himoya qilinishini ta’minlash;
- mehnat bozorining samarali faoliyat ko‘rsatishiga ko‘maklashish."
Ish beruvchi meni qanday mezonlar asosida ishga qabul qilishi mumkin?,mehnat kodeksi 2-modda,"Ushbu Kodeksning asosiy vazifalari quyidagilardan iborat:
- xodimlar mehnat huquqlari va erkinliklarining, shu jumladan mehnat qilishga, erkin ish tanlashga, adolatli va xavfsiz mehnat sharoitlariga hamda ishsizlikdan himoyalanishga bo‘lgan huquqining davlat kafolatlarini belgilash;
- ish beruvchilarning kadrlarni tanlash, joy-joyiga qo‘yish va samarali mehnat jarayonini tashkil etish sohasidagi huquqlari amalga oshirilishini ta’minlash;
- mehnat sohasida ijtimoiy sheriklikni rag‘batlantirish va rivojlantirish;
- xodimlar va ish beruvchilarning huquqlari hamda qonuniy manfaatlari himoya qilinishini ta’minlash;
- mehnat bozorining samarali faoliyat ko‘rsatishiga ko‘maklashish."
Kadrlarni joy-joyiga qo‘yish huquqi kimga tegishli?,mehnat kodeksi 2-modda,"Ushbu Kodeksning asosiy vazifalari quyidagilardan iborat:
- xodimlar mehnat huquqlari va erkinliklarining, shu jumladan mehnat qilishga, erkin ish tanlashga, adolatli va xavfsiz mehnat sharoitlariga hamda ishsizlikdan himoyalanishga bo‘lgan huquqining davlat kafolatlarini belgilash;
- ish beruvchilarning kadrlarni tanlash, joy-joyiga qo‘yish va samarali mehnat jarayonini tashkil etish sohasidagi huquqlari amalga oshirilishini ta’minlash;
- mehnat sohasida ijtimoiy sheriklikni rag‘batlantirish va rivojlantirish;
- xodimlar va ish beruvchilarning huquqlari hamda qonuniy manfaatlari himoya qilinishini ta’minlash;
- mehnat bozorining samarali faoliyat ko‘rsatishiga ko‘maklashish."
,mehnat kodeksi 2-modda,"Ushbu Kodeksning asosiy vazifalari quyidagilardan iborat:
- xodimlar mehnat huquqlari va erkinliklarining, shu jumladan mehnat qilishga, erkin ish tanlashga, adolatli va xavfsiz mehnat sharoitlariga hamda ishsizlikdan himoyalanishga bo‘lgan huquqining davlat kafolatlarini belgilash;
- ish beruvchilarning kadrlarni tanlash, joy-joyiga qo‘yish va samarali mehnat jarayonini tashkil etish sohasidagi huquqlari amalga oshirilishini ta’minlash;
- mehnat sohasida ijtimoiy sheriklikni rag‘batlantirish va rivojlantirish;
- xodimlar va ish beruvchilarning huquqlari hamda qonuniy manfaatlari himoya qilinishini ta’minlash;
- mehnat bozorining samarali faoliyat ko‘rsatishiga ko‘maklashish."
